Name,urlwebsite,keywords,Description_French,Description,Description_cleaned
legal-booster,https://legal-booster.fr,droit / information juridique / LegalTech,Service privé éditeur d’information juridique pensé et conçu pour les non-juristes.,Private service publisher of legal information conceived and designed for non-lawyers.,privat servic publish legal inform conceiv design non-lawy
crafters,http://www.crafters.fr,digital / Industrie / production / textile,Une équipe de 25 experts qui vous accompagnent dans tous vos projets textiles et accessoires sur-mesure.,A team of 25 experts who accompany you in all your projects and textile accessories to measure.,team 25 expert accompani project textil accessori measur
semji,https://semji.com/fr/,,Semji est une plateforme de content marketing qui permet de guider les équipes marketing à créer des contenus pertinents pour leur audience. Semji optimise la visibilité des contenus dans Google et permet d’en mesurer facilement les performances.,Semji is a content marketing platform that guides marketers to create content relevant to their audience. Semji maximizes visibility of content in Google and allows you to easily measure performance.,semji content market platform guid market creat content relev audienc semji maxim visibl content googl allow easili measur perform
mygladys,http://www.mygladys.fr,Agenda / API / assistante virtuelle / automation / BtoB / calendrier / email / en ligne / extension Chrome / services informatiques,"Nous planifions en quelques clics vos rendez-vous professionnels, en prenant en compte vos préférences d'agenda ","We are planning a few clicks your business appointments, taking into account your calendar preferences",plan click busi appoint take account calendar prefer
lespace-digital-leled,http://www.leled.fr,marketing de proximité / Marketing événementiel / prospection / vente,"1ere Espace de vente ""Phygital"" de l'immobilier, 100% autonome ouvert 7j /7 et 24H/24 ","1st Sales office ""Phygital"" property, opened 100% independent 7/7 and 24h / 24",1st sale offic `` phygit '' properti open 100 independ 7/7 24h 24
kickbanking,https://www.kickbanking.com/,citoyen / FinTech / freelance,La fin des problèmes avec les organismes sociaux pour les Freelances,The end of the problems with social agencies for Freelancers,end problem social agenc freelanc
le-monde-immo,https://lemondeimmo.com/,BtoB / communication / Comparateur / Economie collaborative / entrepreneuriat / Immobilier / moteur de recherche / outils pour entrepreneurs et créateurs / Place de marché / plateforme,1ère Passerelle de commercialisation collaborative entre Promoteurs Immobiliers et Partenaires commerciaux,1st collaborative marketing Gateway between Property Developers and Business Partners,1st collabor market gateway properti develop busi partner
quelle-sera-ma-retraite,https://www.quelleseramaretraite.fr,audit / Bpifrance / droit / expertise / Service aux particuliers / services / Services Professionnels,Le 1er Chatbot d'information et de conseil en matière de retraite,1 Chatbot information and pension consultancy,1 chatbot inform pension consult
tenor-edi-services,https://www.ediservices.com,logiciel / services informatiques,Nous facilitons les échanges de données et la dématérialisation avec des solution EDI / EAI / ETL et DEMAT,We facilitate the data exchange and dematerialisation with EDI / EAI / ETL and DEMAT,facilit data exchang dematerialis edi eai etl demat
business-en-ligneio,https://businessenligne.io/,Bon plan / Business / Centre de formation,"Retrouvez toutes les formations en ligne, outils et bons plans du web ! Gagnez de l’argent en passant via notre plateforme en bénéficiant de cashback, et profitez de nos bonus exceptionnels. ","Find all the online training, tools and tips on the web! Earn money while passing through our platform benefiting cashback, and enjoy our exceptional bonuses.",find onlin train tool tip web earn money pas platform benefit cashback enjoy except bonus
malika,http://www.malikastory.com,beauté,Les cosmétiques ensoleillés pour la vraie femme d’aujourd’hui pressée et paresseuse,On sunny cosmetics for the real woman pressed today and lazy,sunni cosmet real woman press today lazi
antidot,https://www.antidot.net/,,Fournit des solutions logicielles qui relèvent le défi de la diffusion efficace et agile des connaissances.,Provides software solutions to the challenge of efficient and agile knowledge dissemination.,provid softwar solut challeng effici agil knowledg dissemin
sagessesante,https://sagesesante.fr/,bien-être / santé,Sagessesante est le site pour apprendre à consommer sainement,Sagessesante is the site to learn how to eat healthily,sagessesant site learn eat healthili
rockingshare,http://www.RockingShare.com,Activités et Loisirs / Location / location courte durée / Location de parking / Location de véhicules utilitaires / Location voiture / maison,Plateforme d’économie collaborative pour louer sans commission et en toute confiance!,Platform collaborative economy for rent without commission and confidence!,platform collabor economi rent without commiss confid
agripousse,https://www.agripousse.pro/,plateforme,Leboncoin des produits alimentaires: simple et efficace.,Leboncoin food: simple and effective.,leboncoin food simpl effect
calchemise,https://calchemise.com/,lifestyle / mode,"La chemise a 5000 ans, il est grand temps d’innover: caleçon + chemise = Calchemise ","The shirt has 5000 years, it is time to innovate: shorts + shirt = Calchemise",shirt 5000 year time innov short shirt calchemis
heatskin-bpsystemes,http://www.heatskin.fr,AgriTech / chauffage / habitat,"Conception, fabrication et vente de systeme de chauffage rayonnant en fibre et textile de carbone ","Design, manufacture and sale of heating system radiating fiber and carbon textile",design manufactur sale heat system radiat fiber carbon textil
chiche,http://onestchiche.fr/,Alimentation saine et durable / agriculture raisonnée / Food Tech / startups,"Notre défi: vous faire aimer les légumineuses bio et française avec des produits gourmands, prêts à consommer et originaux ! ","Our challenge is to make you love the French organic and legumes with gourmet products, ready to eat and original!",challeng make love french organ legum gourmet product readi eat origin
crg-quality-consulting,http://crgquality.wordpress.com,conseil / Industrie / Santé sécurité au travail,CRG Quality Consulting assiste les entreprises en développement sur des aspects qualité et sécurité.,MAF Quality Consulting assists companies in developing on aspects quality and safety.,maf qualiti consult assist compani develop aspect qualiti safeti
ido-data,https://ido-data.fr/,Activités et Loisirs / Application mobile / connecté / géolocalisation / Santé sécurité au travail,L'alerte pour sauver des vies !,The alert to save lives!,alert save live
talengers,http://talengers.com,architecture / art / art digital / Boîte à outils startup / création / creation de siteweb / cuisinier / décoration / design,La plateforme qui rend le talent des étudiants créatifs accessible.,The platform makes the talent of creative students available.,platform make talent creativ student avail
